Tiempo;Sitio;Cantidad
24h;Control;9
24h;Control;8
24h;Control;8
24h;Control;9
24h;Control;10
24h;Control;9
24h;SanRafael;9
24h;SanRafael;8
24h;SanRafael;8
24h;SanRafael;8
24h;SanRafael;9
24h;SanRafael;8
24h;Heredia;7
24h;Heredia;8
24h;Heredia;8
24h;Heredia;7
24h;Heredia;7
24h;Heredia;6
24h;Guararí;7
24h;Guararí;7
24h;Guararí;7
24h;Guararí;7
24h;Guararí;8
24h;Guararí;7
48h;Control;7
48h;Control;6
48h;Control;5
48h;Control;5
48h;Control;7
48h;Control;7
48h;SanRafael;8
48h;SanRafael;8
48h;SanRafael;8
48h;SanRafael;6
48h;SanRafael;7
48h;SanRafael;5
48h;Heredia;1
48h;Heredia;0
48h;Heredia;2
48h;Heredia;0
48h;Heredia;5
48h;Heredia;0
48h;Guararí;2
48h;Guararí;1
48h;Guararí;2
48h;Guararí;2
48h;Guararí;2
48h;Guararí;0
