Sustrato;Altura;nHojas;Indice_asimetria;HR;AFS.cm2.g
nat;28.1;7;0.714285714;91.025641;478.709936
nat;42;11;0.833333333;86.028257;500.66278
nat;21.4;8;0;87.931034;492.304133
nat;15.7;5;0;79.333333;530.072696
nat;29;8;0.8;83.838384;510.282605
nat;7.5;5;0.5;57.377049;626.523746
nat;19.7;5;0.75;42.512077;691.8236
nat;49.5;10;0.5;72.599784;559.652286
nat;23.4;8;0.75;65.25974;591.896128
nat;17.2;7;0.25;73.170732;557.144189
nat;9.5;6;0;78.787879;532.468806
nat;20.4;8;0;71.374046;565.036793
nat;31;6;0.75;79.966044;527.293281
nat;27.5;8;0.75;75.722543;545.934419
nat;14;5;0.666666667;66.666667;585.715686
nat;25.1;5;1.333333333;70.740741;567.818818
nat;13.1;3;0;70.833333;567.412071
nat;13;4;0;83.739837;510.715507
nat;26.4;8;0.714285714;81.295844;521.451649
nat;15.1;7;0.666666667;71.428571;564.797269
nat;13.8;6;0;70.37037;569.445806
nat;16.1;9;0.666666667;80.864198;523.347812
nat;36.5;6;0;75.132275;548.527389
nat;14.4;6;0.833333333;72.94686;558.127629
nat;15;3;0.666666667;65.6;590.401412
org;29.7;6;0;87.469287;539.190909
org;23.2;8;0.75;-69.230769;1290.019231
org;40.1;10;0.571428571;82.095006;564.941778
org;9.5;7;0.666666667;88.372093;534.865116
org;39.5;8;0.857142857;77.864992;585.20989
org;34;6;0.666666667;74.313409;602.227302
org;9.6;5;0.5;71.794872;614.294872
org;30.6;7;0.4;76.923077;589.723077
org;18.7;6;0.666666667;56.849315;685.906507
org;19.9;6;0.6;94.411765;505.926029
org;23.7;7;0.4;28.62069;821.163966
org;38;8;0.9;48.245614;727.13114
org;33.2;8;0.4;15.753425;882.817466
org;18;3;0.666666667;33.333333;798.583333
org;54.9;12;0.166666667;48.741188;724.756596
org;23.4;7;0.666666667;12.182741;899.926396
org;56.2;12;0.75;25.330813;836.92741
org;27.9;6;0;-4.280156;978.808366
org;39.8;9;0.5;11.778291;901.864319
org;48;9;0.875;-18.523154;1047.053692
org;41.6;8;0.833333333;17.662338;873.670909
org;41.6;8;0.857142857;-6.521739;989.548913
org;21.4;4;0.8;-39.786856;1148.938721
org;21.6;5;0.75;-45.56962;1176.646835
nit;24;8;0.4;110.25641;254.739768
nit;51.5;10;0.875;56.188119;408.214173
nit;24;3;0;-6.17284;585.227552
nit;30.5;4;0.777777778;-10.291262;596.917814
nit;23.5;8;0.4;18.772563;514.419307
nit;33.7;4;0.875;41.681261;449.392308
nit;39.5;12;0.444444444;60.305344;396.527312
nit;53;8;0.5;58.808725;400.775507
nit;38.5;6;0;27.640156;489.248388
nit;19.9;2;0;6.593407;548.990194
nit;35.6;6;0;36.746988;463.398384
nit;42.3;3;0.5;24.933215;496.93212
nit;24.9;5;0.5;23.94958;499.724196
nit;22.8;9;2;51.916376;420.339637
nit;42;5;0.75;-20;624.476346
nit;25.5;5;0.666666667;57.843137;403.516356
nit;19.5;4;0.6;12.413793;532.468859
nit;22.6;4;0.75;6.329114;549.740397
npk;35.7;7;0.75;100.542005;326.490069
npk;21.3;2;0;54.545455;477.482628
npk;24.2;2;1.5;87.980769;367.724752
npk;13;5;0.666666667;81.456954;389.140437
npk;14;4;0;59.82906;460.138174
npk;22;5;0.333333333;39.130435;528.085407
npk;31;5;0.4;65.979381;439.948556
npk;37.5;9;0.375;59.360301;461.676965
npk;45;6;0.666666667;77.375;402.540238
npk;23.5;3;0.142857143;30.769231;555.532673
npk;21;7;0.75;71.052632;423.294633
npk;48;7;0.333333333;72.907801;417.204679
npk;16.8;4;0;59.52381;461.140217
